"","sprice","livarea","beds","baths","lgelot","age","pool"
"1",138000,17,3,2,1,97,0
"2",105700,21,4,2.5,0,18,0
"3",22000,7,2,1,0,49,0
"4",255000,30,3,3,1,23,0
"5",203000,21,4,2,1,18,0
"6",129178,16,3,2,0,2,0
"7",140000,17,3,2,0,0,0
"8",118600,14,3,2,0,4,0
"9",125000,14,3,2,0,3,0
"10",145000,17,3,2.5,0,1,0
"11",157000,17,3,2.5,0,3,0
"12",160000,19,4,2.5,0,4,0
"13",151000,17,3,2.5,0,0,0
"14",166000,19,4,2,0,0,0
"15",124500,14,3,2,0,1,0
"16",145000,14,3,2,0,3,0
"17",144000,16,4,2,0,0,0
"18",175000,18,4,2,0,3,0
"19",125000,14,3,2,0,0,0
"20",172500,22,4,2.5,0,2,0
"21",330000,35,4,3.5,0,0,0
"22",233900,24,4,2,0,0,0
"23",199950,21,3,3,0,0,0
"24",159000,19,4,2,0,7,0
"25",180000,26,4,3,0,5,0
"26",155000,23,4,2.5,0,6,0
"27",129000,16,3,2,0,6,0
"28",149900,27,4,3,0,6,0
"29",235000,33,5,3.5,1,24,1
"30",137000,17,3,2,0,29,0
"31",219000,21,3,2,0,23,0
"32",210000,21,3,3,0,22,0
"33",190000,22,2,2.5,0,22,0
"34",247000,25,4,3,0,24,0
"35",125000,16,3,2,0,3,0
"36",199000,26,4,3,0,4,0
"37",132500,17,4,2,0,4,0
"38",161000,21,4,2.5,0,2,0
"39",166300,21,4,2.5,0,4,0
"40",146500,23,4,3,0,1,0
"41",180000,26,4,3,0,3,0
"42",142000,19,3,2,0,4,0
"43",149950,18,4,2,0,4,0
"44",128000,13,3,2,0,4,0
"45",127000,13,3,2,0,4,0
"46",128000,15,3,2,0,5,0
"47",134000,14,3,2,0,4,0
"48",134000,15,3,2,0,6,0
"49",136500,15,3,2,0,6,0
"50",130000,13,3,2,0,4,0
"51",186500,21,5,3,0,6,0
"52",168500,21,5,3,0,6,0
"53",169950,18,3,2,0,2,0
"54",179900,20,4,3,0,0,0
"55",146500,20,4,2,0,3,0
"56",104500,16,3,2,0,16,0
"57",154000,21,4,2.5,0,0,0
"58",110000,12,3,2,0,14,0
"59",100000,10,2,2,0,13,0
"60",155000,16,3,2,0,13,0
"61",161900,19,3,2.5,0,12,0
"62",169000,17,3,2,0,14,0
"63",134000,17,2,2,0,13,0
"64",145000,19,3,2.5,0,8,0
"65",132500,18,3,2.5,0,12,0
"66",131000,19,3,2.5,0,10,0
"67",147000,21,5,3,0,9,0
"68",190000,21,4,2.5,0,9,0
"69",147500,21,3,2.5,0,8,0
"70",175000,22,4,2,0,8,0
"71",188000,27,3,3,0,8,0
"72",172000,27,4,3,0,7,0
"73",163000,18,3,2,0,8,0
"74",209900,27,4,3,0,8,0
"75",163000,19,3,2,0,8,0
"76",179000,27,3,3,0,8,1
"77",149000,18,3,2,0,8,0
"78",121000,18,4,2,0,3,0
"79",134900,18,4,2,0,5,0
"80",160000,18,3,2,0,8,0
"81",164000,25,4,2,0,1,0
"82",148500,18,4,2.5,0,3,0
"83",100000,16,3,2,0,6,0
"84",107000,16,3,2,0,6,0
"85",111000,16,3,2,0,6,0
"86",100000,16,3,2,0,4,0
"87",148000,16,3,2,0,6,0
"88",127500,18,4,3,0,6,0
"89",136500,20,4,2.5,0,7,0
"90",160000,25,4,3,0,2,0
"91",152500,21,4,2.5,0,3,0
"92",132000,16,3,2,0,3,0
"93",126500,16,3,2,0,3,0
"94",149750,18,3,2,0,7,0
"95",165000,24,4,2.5,0,7,0
"96",137500,20,4,2.5,0,7,0
"97",145000,19,4,2,0,8,0
"98",136000,18,3,2,0,7,0
"99",156500,24,4,2.5,0,6,0
"100",140000,21,4,2.5,0,3,0
"101",180000,28,5,3.5,0,4,0
"102",144500,16,3,2,0,3,0
"103",105000,16,3,2,0,4,0
"104",101000,16,3,2,0,4,0
"105",107000,16,3,2,0,6,0
"106",175000,18,4,2.5,0,0,0
"107",131000,20,3,2.5,0,0,0
"108",144900,16,3,2,0,5,0
"109",190000,20,4,3,0,0,0
"110",156500,20,4,2,0,3,0
"111",219000,25,3,2.5,1,41,0
"112",142000,20,3,2,1,32,0
"113",165000,16,3,2,0,38,1
"114",195000,22,4,3,0,31,1
"115",261000,31,4,3,0,7,0
"116",112700,22,4,2.5,0,18,0
"117",109000,16,3,2,0,18,0
"118",113500,19,4,3,0,19,1
"119",118950,22,4,2.5,0,12,0
"120",112000,15,3,2,0,19,0
"121",102500,17,3,2,0,19,0
"122",98725,16,3,2,0,19,0
"123",115000,16,3,2,0,20,0
"124",114000,17,3,2,0,20,0
"125",121000,16,3,2,0,20,0
"126",112000,18,4,2,0,20,0
"127",109000,22,4,2.5,0,19,0
"128",123900,22,4,2.5,0,20,1
"129",91000,15,3,2,0,9,0
"130",107000,22,4,2.5,0,17,0
"131",91900,17,3,2,0,16,0
"132",104500,18,4,2,0,19,0
"133",110000,14,3,2,0,20,0
"134",97900,18,3,2,0,20,0
"135",103000,17,3,2,0,19,0
"136",93500,14,3,2,0,19,0
"137",110000,16,3,2,0,20,0
"138",140000,22,4,2.5,0,20,0
"139",105000,22,4,2.5,0,19,0
"140",126500,22,4,2.5,0,20,0
"141",118000,22,4,2.5,0,19,0
"142",109500,15,3,2,0,17,0
"143",126500,18,4,2,0,17,0
"144",136000,21,4,2.5,0,17,1
"145",153000,21,4,2.5,0,18,1
"146",115000,18,4,2,0,18,0
"147",118000,15,3,2,0,18,0
"148",122500,16,3,2,0,17,0
"149",152500,24,5,3,0,18,0
"150",113500,21,4,2.5,0,18,0
"151",125000,21,4,2.5,0,19,0
"152",117500,17,3,2,0,19,0
"153",143000,22,4,2.5,0,17,1
"154",110000,17,3,2,0,19,0
"155",104900,15,3,2,0,22,0
"156",105000,15,3,2,0,21,0
"157",105000,16,3,2,0,21,0
"158",142500,19,4,2,0,22,0
"159",114950,15,3,2,0,20,0
"160",90000,14,3,2,0,19,0
"161",101000,15,3,2.5,0,17,0
"162",145000,19,3,2,0,15,0
"163",119900,17,2,2,0,14,1
"164",142500,19,3,2,0,12,0
"165",138000,18,3,2,0,18,0
"166",120000,18,3,2,0,16,0
"167",147000,20,4,2.5,0,18,0
"168",145500,22,4,2,0,17,0
"169",134950,20,4,3,0,17,0
"170",122000,18,3,2,0,18,0
"171",114000,16,3,2,0,18,1
"172",139700,22,4,3,0,16,0
"173",129900,19,3,2,0,17,0
"174",165000,26,4,2.5,0,18,0
"175",114000,15,3,2,0,18,0
"176",141950,25,4,2.5,0,16,0
"177",116100,18,4,2,0,18,0
"178",112500,20,4,2,0,20,0
"179",103500,16,4,2,0,20,0
"180",115000,14,3,2,0,21,1
"181",144000,21,4,3,0,20,1
"182",108500,16,3,2,0,21,0
"183",103000,16,3,2,0,21,0
"184",102500,15,3,2,0,21,0
"185",116950,16,3,2,0,22,0
"186",126500,18,4,2,0,22,0
"187",121000,16,3,2,0,21,0
"188",115000,16,3,2,0,20,0
"189",96000,15,3,2,0,19,0
"190",135625,21,4,2.5,0,20,0
"191",139950,21,4,3,0,20,0
"192",109000,16,3,2,0,19,0
"193",113000,18,3,2,0,21,0
"194",143000,23,4,2.5,0,20,1
"195",127500,18,4,2,0,21,0
"196",119000,22,4,3,0,18,0
"197",139000,18,4,2,0,20,0
"198",139000,21,4,2.5,0,20,1
"199",123500,17,3,2,0,18,0
"200",85000,13,3,2,0,22,0
"201",115000,16,3,2,0,22,0
"202",130500,22,4,3,0,22,0
"203",102000,13,4,2,0,21,0
"204",124950,16,3,2,0,23,0
"205",117000,18,4,2,0,22,0
"206",105950,16,3,2,0,24,0
"207",80000,14,3,2,0,22,0
"208",103000,15,3,2,0,18,0
"209",115150,14,3,2,0,22,0
"210",146500,21,4,2.5,0,19,0
"211",135500,22,4,2.5,0,18,0
"212",115000,16,3,2,0,18,0
"213",126000,22,4,3,0,17,0
"214",118500,17,3,2,0,19,0
"215",116900,18,4,2,0,19,0
"216",109000,18,4,2,0,18,0
"217",118500,17,3,2,0,19,0
"218",140000,28,4,3,0,16,0
"219",132000,20,3,2,0,13,0
"220",110000,18,3,2,0,11,0
"221",77500,12,3,2,0,13,0
"222",104000,13,3,2,0,16,0
"223",100000,14,3,2,0,18,0
"224",110000,17,3,2,0,48,0
"225",87000,21,3,2,0,41,0
"226",120000,16,3,2,0,39,0
"227",115500,18,3,2.5,0,38,0
"228",99950,14,3,2,0,38,0
"229",113500,15,3,2,0,35,0
"230",110000,16,3,2,0,41,0
"231",117500,16,4,2,0,35,0
"232",115000,22,3,3,0,26,0
"233",166500,26,5,3,0,26,0
"234",129950,17,3,2.5,0,6,0
"235",127500,20,4,2.5,0,41,0
"236",110000,14,3,2,0,43,0
"237",73000,23,3,2,0,44,0
"238",110000,12,2,2,0,48,0
"239",130300,15,3,2,0,47,0
"240",121000,14,2,1.5,0,49,0
"241",109950,12,3,1,0,49,0
"242",126000,23,3,1.5,0,48,0
"243",205000,29,4,3,0,46,0
"244",145000,25,4,3,0,50,1
"245",83000,12,2,1,0,51,0
"246",76000,11,3,2,0,47,0
"247",79000,11,3,1,0,47,0
"248",129500,17,3,2,0,47,0
"249",99950,16,3,2,0,47,0
"250",140000,24,5,3,0,28,0
"251",119500,19,3,2,0,29,0
"252",106000,15,3,2,0,26,0
"253",95700,14,3,2,0,28,0
"254",97000,14,3,2,0,25,0
"255",162500,27,5,3.5,0,29,1
"256",95000,16,4,2,0,30,0
"257",97900,19,4,2,0,29,0
"258",96500,15,3,2,0,29,0
"259",94500,13,3,1.5,0,47,0
"260",123000,17,3,2,0,49,1
"261",88000,16,3,2,0,49,0
"262",122000,17,3,2,0,25,0
"263",117000,20,4,3,0,26,0
"264",105000,14,3,2,0,24,1
"265",118675,16,3,2,0,25,0
"266",99900,15,3,2,0,26,0
"267",119000,19,4,2.5,1,24,0
"268",105000,15,3,2,0,25,0
"269",88500,16,4,2,0,25,0
"270",110000,15,3,2,0,21,0
"271",124500,18,4,2,0,24,0
"272",107000,14,3,2,0,19,0
"273",107500,15,3,2,0,20,0
"274",99000,17,3,2,0,18,0
"275",118950,15,3,2,0,10,0
"276",134000,18,3,2.5,0,10,0
"277",145000,22,4,2,0,8,0
"278",95500,17,4,2,0,25,0
"279",119950,15,4,2,0,27,0
"280",120000,17,3,2,0,26,0
"281",97000,12,3,2,0,37,0
"282",105000,12,3,2,0,36,0
"283",117000,15,3,2,0,30,0
"284",120000,14,3,2,0,32,0
"285",96500,14,3,2,0,32,0
"286",90000,14,3,2,0,31,0
"287",115500,15,4,2,0,33,0
"288",108000,14,3,2,0,37,0
"289",105000,12,3,2,0,34,0
"290",105000,12,3,2,0,33,0
"291",164500,20,5,3,1,38,1
"292",119000,10,3,2,0,37,1
"293",97000,13,3,2,0,39,0
"294",81500,12,3,2,0,43,0
"295",119500,13,3,2,0,35,0
"296",145000,18,3,2,0,35,0
"297",146500,16,3,2,0,34,0
"298",135000,16,3,2,0,38,1
"299",129000,14,3,2,0,34,0
"300",230000,25,3,2.5,0,33,0
"301",230000,26,4,2,0,29,0
"302",285000,25,4,2,0,39,1
"303",357500,32,5,4,0,18,1
"304",139000,17,3,2,0,37,0
"305",142000,14,3,2,0,41,0
"306",155000,19,3,2,0,41,0
"307",335000,23,3,2,0,40,0
"308",133000,18,3,2,0,39,0
"309",105000,15,3,2,0,40,0
"310",116500,16,3,2,0,38,0
"311",142500,18,3,2.5,0,38,0
"312",209000,23,4,2.5,0,31,1
"313",159000,15,3,2,0,37,0
"314",114900,15,4,2,0,42,0
"315",180675,24,4,3,0,40,0
"316",177500,29,4,2,1,48,0
"317",109000,18,4,2,0,39,0
"318",113000,13,3,2,0,43,0
"319",650000,46,4,3.5,1,14,1
"320",255000,32,4,4,0,10,0
"321",375000,48,4,4.5,1,34,0
"322",126000,12,3,1,0,42,0
"323",82000,12,3,2,0,37,0
"324",119950,14,3,2,0,28,0
"325",153500,16,3,1.5,0,43,0
"326",103000,17,3,2.5,0,46,0
"327",135000,20,3,2,0,47,0
"328",134000,15,3,1.5,0,41,0
"329",133563,14,3,1.5,0,42,0
"330",129759,20,3,3,0,43,1
"331",104000,11,3,2,0,44,0
"332",119500,13,3,2,0,43,0
"333",124000,15,3,2,0,43,0
"334",125000,16,3,2,0,42,0
"335",132000,15,3,2,0,42,0
"336",145000,20,4,3,0,42,0
"337",69000,12,2,1,0,48,0
"338",105000,14,2,1.5,0,48,0
"339",172000,22,4,2.5,0,12,0
"340",127000,18,3,2,0,13,0
"341",167500,25,4,2.5,0,14,0
"342",152500,17,3,3,0,10,1
"343",125000,16,3,2,0,9,0
"344",139950,18,3,2,0,10,0
"345",147900,23,4,2.5,0,9,1
"346",131000,17,3,2,0,10,0
"347",155000,21,4,2.5,0,9,0
"348",122500,15,3,2,0,10,0
"349",97000,17,3,2,0,8,0
"350",116900,21,4,2.5,0,8,0
"351",135900,23,5,3,0,9,0
"352",124950,18,4,2,0,8,0
"353",123575,15,3,2,0,9,0
"354",142000,23,5,3,0,7,0
"355",135000,18,3,2,0,9,0
"356",117500,15,3,2,0,8,0
"357",131500,21,4,2.5,0,9,0
"358",125000,18,3,2,0,11,0
"359",155000,21,4,2.5,0,12,0
"360",121000,15,3,2,0,11,0
"361",124000,15,3,2,0,11,0
"362",125000,18,4,2,0,10,0
"363",149000,22,4,2.5,0,10,0
"364",117000,15,3,2,0,11,0
"365",137000,21,4,2.5,0,9,0
"366",101950,13,3,2,0,12,0
"367",108000,15,3,2,0,13,0
"368",166000,25,4,3,0,15,0
"369",179000,25,4,3,0,16,0
"370",161500,23,4,2.5,0,14,0
"371",124500,16,3,2,0,13,0
"372",131000,18,4,2,0,15,0
"373",132500,17,3,2,0,15,0
"374",99862,15,3,2,0,14,0
"375",133900,18,3,2,0,17,0
"376",112500,16,3,2,0,16,0
"377",143000,23,5,3,0,14,0
"378",118000,15,3,2,0,14,0
"379",133000,19,4,2.5,0,16,0
"380",119000,17,3,2,0,18,0
"381",107000,16,3,2,0,16,0
"382",130500,21,4,3,0,17,0
"383",149000,25,4,3,0,18,0
"384",127000,19,4,3,0,17,0
"385",115000,18,4,2.5,0,16,0
"386",125000,25,4,3,0,15,0
"387",142000,22,3,2.5,0,19,0
"388",124500,20,4,3,0,19,0
"389",112000,15,3,2,0,19,0
"390",98000,16,3,2,0,19,0
"391",100000,15,3,2,0,18,0
"392",110000,20,4,2.5,0,18,1
"393",102000,16,3,2,0,19,0
"394",108523,15,3,2,0,15,0
"395",112500,25,4,3,0,16,0
"396",95000,15,3,2,0,18,0
"397",97750,15,3,2,0,17,0
"398",125500,22,4,2.5,0,15,0
"399",103000,14,3,2,0,15,0
"400",135000,23,4,2.5,0,16,0
"401",101000,17,3,2,0,15,0
"402",125950,22,3,2.5,0,17,0
"403",103500,14,3,2,0,17,0
"404",135000,22,4,2.5,0,13,0
"405",169000,27,5,3,0,12,0
"406",108500,14,3,2,0,11,0
"407",120500,17,3,2,0,11,0
"408",148000,25,4,3,0,12,0
"409",164000,27,5,3,1,12,1
"410",125500,22,4,2.5,0,12,0
"411",128500,22,4,2.5,0,14,0
"412",85000,15,3,2,0,19,0
"413",106000,15,3,2,0,13,0
"414",100000,19,4,2,0,12,0
"415",137000,22,4,2.5,0,14,0
"416",140000,20,4,2.5,0,14,0
"417",127500,14,4,2,0,14,1
"418",103000,15,3,2,0,13,0
"419",114000,19,4,3,0,13,0
"420",122500,22,4,2.5,0,13,0
"421",108000,17,4,2,0,15,0
"422",100000,15,3,2,0,13,0
"423",134500,22,4,2.5,0,10,1
"424",99000,23,5,4,0,17,0
"425",122950,13,3,2,1,10,0
"426",123500,20,4,2.5,0,8,0
"427",118500,17,3,2,0,10,0
"428",109900,18,4,2,0,18,0
"429",93500,14,3,2,0,14,1
"430",130000,22,4,2.5,0,11,0
"431",119000,22,4,2.5,0,11,0
"432",147000,26,4,3,0,10,0
"433",155000,26,4,3,0,10,0
"434",125000,21,3,2.5,0,12,0
"435",126000,15,3,2,0,12,0
"436",105000,16,4,2,0,13,0
"437",132500,21,4,2.5,0,11,1
"438",169500,27,4,3,0,12,0
"439",117000,16,3,2,0,11,0
"440",163500,27,5,3,0,11,0
"441",126000,23,4,3,0,9,0
"442",154000,22,3,2.5,0,11,0
"443",104000,16,3,2,0,10,0
"444",165000,27,5,3,0,10,0
"445",66900,12,3,2,0,38,0
"446",70000,11,3,1,1,41,0
"447",85000,17,3,2,0,42,0
"448",84500,10,3,2,0,40,0
"449",86200,18,4,3,0,35,0
"450",59000,11,4,2,0,37,0
"451",70000,14,3,2,0,31,0
"452",72000,12,3,2,0,34,0
"453",75000,10,3,1,0,37,0
"454",77500,13,4,2,0,33,0
"455",72000,11,3,2,0,34,0
"456",81000,11,3,2,0,34,0
"457",94000,14,3,2,0,35,1
"458",85500,13,3,2,0,33,0
"459",93280,12,3,2,0,26,0
"460",83511,14,3,2,0,25,0
"461",147500,20,4,3,0,27,0
"462",99950,14,3,2,0,28,0
"463",97000,15,3,2,0,29,1
"464",84000,15,3,2,0,27,0
"465",79000,14,3,2,0,27,0
"466",93750,15,3,2,0,24,0
"467",95000,12,3,2,0,28,0
"468",97500,12,3,2,0,27,0
"469",86950,14,3,2,0,27,0
"470",85250,12,3,2,0,30,0
"471",92500,16,3,2,0,28,0
"472",87500,12,3,2,0,29,0
"473",92500,14,3,2,0,30,0
"474",89900,13,3,2,0,33,1
"475",87000,11,3,2,0,33,0
"476",74400,16,3,2,0,31,0
"477",90000,17,3,2,0,30,0
"478",74000,13,3,2,0,31,0
"479",713000,14,3,2.5,0,29,0
"480",109000,12,3,2,0,30,0
"481",94000,14,3,2,0,27,0
"482",86500,13,3,2,0,29,0
"483",82000,14,3,2,0,28,0
"484",94250,16,3,2,0,26,0
"485",102000,15,3,2,0,31,0
"486",85600,16,4,2,0,31,0
"487",88700,12,3,2,0,32,0
"488",94500,17,3,2,0,33,0
"489",82500,15,3,2,0,31,0
"490",80000,12,3,2,0,35,0
"491",95000,14,3,2,0,34,0
"492",99000,15,3,2,0,32,0
"493",90000,12,3,2,0,32,0
"494",95000,13,3,2,0,34,0
"495",82000,12,3,2,0,32,0
"496",93000,14,3,2,0,33,0
"497",81000,13,3,2,0,33,0
"498",95000,14,3,2,0,26,0
"499",125000,19,5,2.5,0,28,0
"500",82950,15,3,2,0,27,0
"501",128000,30,4,3,0,26,1
"502",82000,12,3,2,0,29,0
"503",91000,16,3,2,0,29,0
"504",76838,16,3,2,0,30,0
"505",91000,14,3,2,0,41,0
"506",55500,15,4,2,0,37,0
"507",66000,10,3,1,0,41,0
"508",79950,11,3,2,0,43,0
"509",77950,13,3,1,0,42,0
"510",83000,15,3,2,0,31,0
"511",95500,14,3,2,0,32,0
"512",107000,21,4,3,0,30,0
"513",90000,15,3,2,0,30,0
"514",79000,14,3,2,0,37,0
"515",78500,11,3,2,0,40,0
"516",87950,12,3,2,0,41,0
"517",82500,12,3,2,0,40,0
"518",94000,12,3,2,0,23,1
"519",79000,17,4,2.5,0,26,0
"520",85000,10,3,1,0,24,0
"521",80400,12,3,2,0,19,0
"522",127000,22,4,2.5,0,17,0
"523",130000,26,5,3,0,16,0
"524",116000,18,4,2,0,17,0
"525",115000,15,3,2,0,18,0
"526",119000,18,4,2,0,17,0
"527",135000,16,3,2,0,18,0
"528",100000,15,3,2,0,17,0
"529",111000,15,3,2,0,17,0
"530",106000,19,4,3,0,17,0
"531",113500,17,5,2,0,18,0
"532",108000,16,3,2,0,18,1
"533",109000,18,4,2,0,19,0
"534",108000,17,3,2,0,15,0
"535",104000,16,3,2,0,13,0
"536",123000,15,3,2,0,15,0
"537",101800,15,3,2,0,16,0
"538",105500,15,3,2,0,16,0
"539",110000,17,3,2,0,14,0
"540",167000,22,4,3,0,15,1
"541",101000,16,3,2,0,17,0
"542",103000,16,4,2,0,16,0
"543",147900,27,5,4,0,18,0
"544",96000,15,3,2,0,17,0
"545",118000,15,3,2,0,16,0
"546",129000,22,4,3,0,12,0
"547",102000,15,3,2,0,12,0
"548",105000,15,3,2,0,15,0
"549",125000,15,3,2,0,15,0
"550",198000,27,4,2,1,51,0
"551",124000,23,4,3,0,19,0
"552",103000,15,3,2,0,20,0
"553",120000,22,4,3,0,19,0
"554",101000,17,3,2,0,19,0
"555",99000,18,4,2,0,18,0
"556",126000,22,4,3,0,18,0
"557",106750,18,4,2,0,18,0
"558",137000,18,4,2,0,18,1
"559",102000,15,3,2,0,19,0
"560",100000,15,3,2,0,19,0
"561",114500,22,3,3,0,18,0
"562",100000,15,3,2,0,18,0
"563",88000,22,4,2.5,0,19,1
"564",101500,15,3,2,0,18,0
"565",104500,15,3,2,0,17,0
"566",88500,17,3,2,0,17,0
"567",115000,17,3,2,0,18,0
"568",130000,22,4,3,0,17,0
"569",84950,16,3,2,0,17,0
"570",125000,13,3,2,0,12,0
"571",105000,13,3,2,0,12,0
"572",108000,13,3,2,0,12,0
"573",129950,13,3,2,0,12,0
"574",95000,16,3,2,0,9,0
"575",125000,17,3,2,0,8,0
"576",128000,16,3,2,0,10,0
"577",149950,22,4,2,0,10,0
"578",128500,18,3,2,0,11,0
"579",127000,18,4,2,0,97,0
"580",135000,18,4,2,0,9,0
"581",125000,16,3,2,0,10,0
"582",144000,22,4,3,0,8,0
"583",119500,15,3,2,0,5,0
"584",136000,18,3,2,0,8,0
"585",123000,15,3,2,0,8,0
"586",140000,18,3,2,0,9,0
"587",137000,22,4,3,0,7,0
"588",124000,15,3,2,0,8,0
"589",120000,15,3,2,0,8,0
"590",121500,15,3,2,0,8,0
"591",126500,18,3,2,0,8,0
"592",119950,15,3,2,0,8,0
"593",118000,14,3,2,0,0,0
"594",118000,14,3,2,0,0,0
"595",146500,18,3,2,0,4,0
"596",121500,14,3,2,0,0,0
"597",124500,14,3,2,0,0,0
"598",132500,15,3,2,0,1,0
"599",77625,14,3,2,0,30,0
"600",77500,11,3,2,0,29,0
"601",77000,12,3,2,0,29,0
"602",71100,15,4,2,0,28,0
"603",77000,12,3,2,0,29,0
"604",65000,12,3,2,0,29,0
"605",77000,12,3,2,0,29,0
"606",69900,13,3,2,0,28,0
"607",79950,10,3,2,0,27,0
"608",55000,14,3,2,0,32,0
"609",68000,14,3,2,0,32,0
"610",85000,13,3,2,0,28,0
"611",120000,15,3,2,0,29,0
"612",65000,19,5,2.5,0,37,0
"613",88500,10,3,1.5,0,37,0
"614",91000,14,4,1.5,0,38,0
"615",81000,11,3,1.5,0,40,0
"616",85000,11,3,1.5,0,38,0
"617",99500,12,3,2,0,38,0
"618",79900,11,3,1.5,0,37,0
"619",91000,10,3,1.5,0,39,0
"620",69000,13,4,1.5,0,38,0
"621",93500,15,4,1.5,0,38,0
"622",69000,15,5,2,0,39,0
"623",60000,14,5,1.5,0,38,0
"624",94950,13,3,1.5,0,39,0
"625",91365,14,4,1.5,0,38,0
"626",105626,13,3,2,0,34,0
"627",97500,15,3,2,0,35,1
"628",91500,11,3,2,0,37,0
"629",107000,18,3,2,0,31,0
"630",109950,16,4,2,0,32,1
"631",81000,12,3,2,0,32,0
"632",101000,15,3,2,0,32,0
"633",93700,18,3,2,0,34,0
"634",95000,14,3,2,0,33,0
"635",88000,14,3,2,0,34,0
"636",115000,18,4,2,0,33,0
"637",72000,13,3,1.5,0,31,0
"638",84950,14,3,2,0,34,0
"639",77900,20,4,2,0,29,0
"640",81400,12,3,2,0,29,0
"641",40000,10,3,1,0,28,0
"642",95000,14,3,2,0,29,0
"643",107500,15,4,2,0,41,0
"644",94500,20,4,2,0,41,0
"645",90000,12,3,1.5,0,41,0
"646",109950,18,3,1.5,0,41,0
"647",97500,15,3,2,0,37,0
"648",99500,14,3,2,0,38,0
"649",75000,14,3,2,0,36,0
"650",87500,12,3,1.5,0,36,0
"651",87000,11,3,2,0,38,0
"652",119950,19,4,2.5,0,41,0
"653",60000,15,3,1.5,0,41,0
"654",74000,10,3,1,0,43,0
"655",75128,14,3,1,0,42,0
"656",99700,14,3,2,0,42,0
"657",76000,11,3,1,0,42,0
"658",69950,9,2,1,0,44,0
"659",77000,11,3,2,0,44,0
"660",51000,12,3,2,0,43,0
"661",65000,10,3,1,0,42,0
